Item,URL,Price,Size,Quantity,Section,Gender,SKU,Last Price,Lowest Price,Highest Price, Image URL
GUCCI Casual pants Military green 100% Cotton,https://www.yoox.com/us/13206456PP/item#dept=clothingmen,520.00,30,0,clothing,men,13206456PP,520.00,520.00,520.00,https://www.yoox.com/images/items/13/13206456PP_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"GUCCI Denim pants Blue 100% Cotton, Calfskin, Polyester",https://www.yoox.com/us/42814248JQ/item#dept=clothingmen,726.0,30,0,clothing,men,42814248JQ,790.00,726.0,790.00,https://www.yoox.com/images/items/42/42814248JQ_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
POLO RALPH LAUREN Sleepwear SLIM FIT SLEEP SHORT\n Black 100% Cotton,https://www.yoox.com/us/48243446DL/item#dept=clothingmen,35.0,S,0,clothing,men,48243446DL,26.0,22.0,35.00,https://www.yoox.com/images/items/48/48243446DL_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
POLO RALPH LAUREN Patterned shirt CLASSIC FIT FLORAL-PRINT CAMP SHIRT\n Blue 100% Cotton,https://www.yoox.com/us/12760114QJ/item#dept=clothingmen,98.0,S,0,clothing,men,12760114QJ,69.0,69.0,98.00,https://www.yoox.com/images/items/12/12760114QJ_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"BALENCIAGA Sweater Lead 100% Cotton, Virgin Wool",https://www.yoox.com/us/14201915LT/item#dept=clothingmen,1234.0,S,0,clothing,men,14201915LT,925.0,604.0,"1,234.00",https://www.yoox.com/images/items/14/14201915LT_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"OFF-WHITE\xe2\x84\xa2 Checked shirt Midnight blue 80% Cotton, 20% Polyester",https://www.yoox.com/us/12934670PF/item#dept=clothingmen,396.0,S,1,clothing,men,12934670PF,230.0,230.0,396.00,https://www.yoox.com/images/items/12/12934670PF_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
OFF-WHITE\xe2\x84\xa2 T-shirt Deep jade 100% Cotton,https://www.yoox.com/us/12936494OF/item#dept=clothingmen,108.0,XS,1,clothing,men,12936494OF,117.0,99.0,310.0,https://www.yoox.com/images/items/12/12936494OF_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
OFF-WHITE\xe2\x84\xa2 T-shirt Black 100% Cotton,https://www.yoox.com/us/12475404HQ/item#dept=clothingmen,265.0,S,0,clothing,men,12475404HQ,225.0,217.0,265.00,https://www.yoox.com/images/items/12/12475404HQ_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"PRADA Sweater Black 70% Virgin Wool, 30% Cashmere",https://www.yoox.com/us/14275300JH/item#dept=Clothingmen,592.0,38,0,Clothing,men,14275300JH,790.0,592.0,790.00,https://www.yoox.com/images/items/14/14275300JH_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"OFF-WHITE\xe2\x84\xa2 Sweater Black 89% Wool, 7% Mohair wool, 4% Polyamide",https://www.yoox.com/us/14165019NW/item#dept=clothingmen,943.0,S,0,clothing,men,14165019NW,660.0,433.0,943.0,https://www.yoox.com/images/items/14/14165019NW_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
OFF-WHITE\xe2\x84\xa2 Denim jacket Steel grey 100% Cotton,https://www.yoox.com/us/16167821CR/item#dept=clothingmen,317.0,S,0,clothing,men,16167821CR,493.0,317.0,493.00,https://www.yoox.com/images/items/16/16167821CR_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
OFF-WHITE\xe2\x84\xa2 Sneakers Purple Textile fibers,https://www.yoox.com/us/17507689WE/item#dept=shoesmen,160.0,8,0,shoes,men,17507689WE,288.0,160.0,412.00,https://www.yoox.com/images/items/17/17507689WE_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
